Team,Pos,P,W,D,L,Pts
Liverpool,1,38,25,9,4,84
Arsenal,2,38,20,14,4,74
Man City,3,38,21,8,9,71
Chelsea,4,38,20,9,9,69
Newcastle,5,38,20,6,12,66
Aston Villa,6,38,19,9,10,66
Nott'm Forest,7,38,19,8,11,65
Brighton,8,38,16,13,9,61
Brentford,9,38,16,8,14,56
Bournemouth,10,38,15,11,12,56
Fulham,11,38,15,9,14,54
Crystal Palace,12,38,13,14,11,53
Everton,13,38,11,15,12,48
West Ham,14,38,11,10,17,43
Wolves,15,38,12,6,20,42
Man United,16,38,11,9,18,42
Tottenham,17,38,11,5,22,38
Leicester,18,38,6,7,25,25
Ipswich,19,38,4,10,24,22
Southampton,20,38,2,6,30,12
