Team,Pos,P,W,D,L,Pts
Liverpool,1,38,29,1,8,88
Arsenal,2,38,25,4,9,79
Newcastle,3,38,25,2,11,77
Crystal Palace,4,38,24,1,13,73
Brentford,5,38,23,2,13,71
Everton,6,38,23,1,14,70
Chelsea,7,38,23,1,14,70
Man City,8,38,22,4,12,70
Tottenham,9,38,21,1,16,64
Aston Villa,10,38,19,2,17,59
Fulham,11,38,17,3,18,54
Nott'm Forest,12,38,16,5,17,53
Wolves,13,38,16,0,22,48
Brighton,14,38,15,3,20,48
Bournemouth,15,38,14,4,20,46
Man United,16,38,12,2,24,38
West Ham,17,38,12,2,24,38
Leicester,18,38,9,4,25,31
Ipswich,19,38,9,2,27,29
Southampton,20,38,4,0,34,12
