Team,Pos,P,W,D,L,Pts
Arsenal,1,14,12,1,1,37
Crystal Palace,2,14,11,2,1,35
Spurs,3,14,10,0,4,30
Man City,4,14,10,0,4,30
Chelsea,5,14,10,0,4,30
Everton,6,14,9,0,5,27
Newcastle,7,14,8,0,6,24
Aston Villa,8,14,7,1,6,22
Man Utd,9,14,7,1,6,22
Sunderland,10,14,7,0,7,21
Brighton,11,14,6,1,7,19
Fulham,12,14,6,0,8,18
Brentford,13,14,5,1,8,16
Wolves,14,14,5,0,9,15
Liverpool,15,14,4,1,9,13
Bournemouth,16,14,4,1,9,13
West Ham,17,14,4,1,9,13
Leeds,18,14,4,0,10,12
Nott'm Forest,19,14,3,1,10,10
Burnley,20,14,1,3,10,6
